year,name,n,
8,CARGOLUX AIRLINES INTERNATIONAL S.A.,0,
9,CARGOLUX AIRLINES INTERNATIONAL S.A.,0,
10,CARGOLUX AIRLINES INTERNATIONAL S.A.,0,
11,CARGOLUX AIRLINES INTERNATIONAL S.A.,0,
12,CARGOLUX AIRLINES INTERNATIONAL S.A.,0,
1,CATHAY PACIFIC,32401,
2,CATHAY PACIFIC,25008,
3,CATHAY PACIFIC,31068,
4,CATHAY PACIFIC,29086,
5,CATHAY PACIFIC,35282,
6,CATHAY PACIFIC,34809,
7,CATHAY PACIFIC,33114,
8,CATHAY PACIFIC,26782,
9,CATHAY PACIFIC,30996,
10,CATHAY PACIFIC,28899,
11,CATHAY PACIFIC,32957,
12,CATHAY PACIFIC,36959,
1,CHINA AIRLINES LTD,2051,
2,CHINA AIRLINES LTD,1654,
3,CHINA AIRLINES LTD,1730,
4,CHINA AIRLINES LTD,1201,
5,CHINA AIRLINES LTD,911,
6,CHINA AIRLINES LTD,1267,
7,CHINA AIRLINES LTD,1900,
8,CHINA AIRLINES LTD,1617,
9,CHINA AIRLINES LTD,1802,
10,CHINA AIRLINES LTD,2562,
11,CHINA AIRLINES LTD,2698,
12,CHINA AIRLINES LTD,2860,
1,CHINA EASTERN AIRLINES,9594,
2,CHINA EASTERN AIRLINES,7201,
3,CHINA EASTERN AIRLINES,7201,
4,CHINA EASTERN AIRLINES,8781,
5,CHINA EASTERN AIRLINES,8063,
6,CHINA EASTERN AIRLINES,8963,
7,CHINA EASTERN AIRLINES,8672,
8,CHINA EASTERN AIRLINES,7202,
9,CHINA EASTERN AIRLINES,9560,
10,CHINA EASTERN AIRLINES,10020,
11,CHINA EASTERN AIRLINES,10546,
12,CHINA EASTERN AIRLINES,10854,
1,CHINA SOUTHERN ,9111,
2,CHINA SOUTHERN ,5732,
3,CHINA SOUTHERN ,8360,
4,CHINA SOUTHERN ,7391,
5,CHINA SOUTHERN ,6500,
6,CHINA SOUTHERN ,7616,
7,CHINA SOUTHERN ,6856,
8,CHINA SOUTHERN ,6192,
9,CHINA SOUTHERN ,6655,
10,CHINA SOUTHERN ,9453,
11,CHINA SOUTHERN ,13062,
12,CHINA SOUTHERN ,11845,
1,DRAGON AIR,3295,
2,DRAGON AIR,7155,
3,DRAGON AIR,8622,
4,DRAGON AIR,9393,
5,DRAGON AIR,10444,
6,DRAGON AIR,10278,
7,DRAGON AIR,10077,
8,DRAGON AIR,7715,
9,DRAGON AIR,8680,
10,DRAGON AIR,9204,
11,DRAGON AIR,9782,
12,DRAGON AIR,12171,
1,DRUK AIR,3590,
2,DRUK AIR,4667,
3,DRUK AIR,3559,
4,DRUK AIR,4620,
5,DRUK AIR,5036,
6,DRUK AIR,4437,
7,DRUK AIR,3402,
